x,y,z,kappa,is_obstacle
-10.0,-10.0,1.265545612261031,0.48862057339139686,False
-9.899497487437186,-10.0,1.2684934468713722,0.490101083093913,False
-9.798994974874372,-10.0,1.2712324483983026,0.491577250618162,False
-9.698492462311558,-10.0,1.2737591410595555,0.4930499047150747,False
-9.597989949748744,-10.0,1.276070542037657,0.4945200825874602,False
-9.49748743718593,-10.0,1.2781641741013174,0.4959890372242139,False
-9.396984924623116,-10.0,1.2800380765067956,0.4974582439384641,False
-9.296482412060302,-10.0,1.2816908141229475,0.49892940603563923,False
-9.195979899497488,-10.0,1.2831214847320964,0.5004044595399737,False
-9.095477386934673,-10.0,1.2843297244676464,0.5018855769111239,False
-8.99497487437186,-10.0,1.2853157113583218,0.5033751696863166,False
-8.894472361809045,-10.0,1.2860801669581268,0.5048758899878323,False
-8.793969849246231,-10.0,1.2866243560504065,0.506390630840571,False
-8.693467336683417,-10.0,1.2869500844237893,0.5079225252499915,False
-8.592964824120603,-10.0,1.2870596947271762,0.5094749439967988,False
-8.492462311557789,-10.0,1.2869560604202679,0.5110514921113618,False
-8.391959798994975,-10.0,1.2866425778453554,0.5126560039979431,False
-8.291457286432161,-10.0,1.2861231564551507,0.5142925371863691,False
-8.190954773869347,-10.0,1.2854022072402416,0.5159653646967258,False
-8.090452261306533,-10.0,1.284484629408305,0.5176789660109633,False
-7.989949748743719,-10.0,1.283375795375388,0.5194380166539158,False
-7.889447236180905,-10.0,1.2820815341373892,0.5212473763950852,False
-7.788944723618091,-10.0,1.280608113097207,0.5231120760915842,False
-7.688442211055277,-10.0,1.2789622184299236,0.5250373032017812,False
-7.5879396984924625,-10.0,1.2771509340747396,0.5270283860083987,False
-7.4874371859296485,-10.0,1.2751817194481556,0.5290907765990046,False
-7.386934673366834,-10.0,1.2730623859781267,0.5312300326609273,False
-7.28643216080402,-10.0,1.2708010725634695,0.533451798156565,False
-7.185929648241206,-10.0,1.2684062200667745,0.5357617829537559,False
-7.085427135678392,-10.0,1.2658865449523438,0.5381657414942734,False
-6.984924623115578,-10.0,1.2632510121833078,0.5406694505915206,False
-6.884422110552764,-10.0,1.2605088074940107,0.543278686456077,False
-6.78391959798995,-10.0,1.257669309155036,0.545999201054799,False
-6.683417085427136,-10.0,1.254742059348838,0.5488366979156611,False
-6.582914572864322,-10.0,1.2517367352738722,0.5517968074963597,False
-6.482412060301508,-10.0,1.24866312009443,0.5548850622398575,False
-6.381909547738694,-10.0,1.245531073852015,0.5581068714444388,False
-6.28140703517588,-10.0,1.2423505044521757,0.5614674960794677,False
-6.180904522613066,-10.0,1.2391313388381564,0.5649720236808091,False
-6.080402010050252,-10.0,1.2358834944596688,0.5686253434618004,False
-5.979899497487437,-10.0,1.2326168511414843,0.5724321217766702,False
-5.879396984924623,-10.0,1.22934122345248,0.5763967780734162,False
-5.7788944723618085,-10.0,1.226066333671255,0.5805234614723335,False
-5.6783919597989945,-10.0,1.2228017854395241,0.5848160281046383,False
-5.57788944723618,-10.0,1.2195570381892515,0.5892780193429398,False
-5.477386934673366,-10.0,1.2163413824238938,0.5939126410517324,False
-5.376884422110552,-10.0,1.2131639159283005,0.5987227439815456,False
-5.276381909547738,-10.0,1.2100335209757758,0.603710805425033,False
-5.175879396984924,-10.0,1.2069588425945648,0.6088789122470247,False
-5.07537688442211,-10.0,1.2039482679497067,0.614228745393537,False
-4.974874371859296,-10.0,1.201009906889745,0.6197615659769217,False
-4.874371859296482,-10.0,1.1981515737013382,0.6254782030258174,False
-4.773869346733668,-10.0,1.1953807701083434,0.6313790429793944,False
-4.673366834170854,-10.0,1.1927046695455423,0.6374640209956194,False
